"OLT Name","Sub-District","Latitude","Longitude"
"ACHROL EXCHANGE","AMBER","27.138250","75.961583"
"CHOMU OLT","AMBER","27.168250","75.709222"
"KHANNIPURA EXCHANGE","AMBER","27.083611","75.604500"
"BANSKHO EXCHANGE","BASSI","26.834722","76.151389"
"BASSI OLT","BASSI","26.831819","76.048526"
"CHAKSU OLT","CHAKSU","26.601961","75.948264"
"KOTHKHAWADA EXCHANGE","CHAKSU","26.645694","76.086056"
"BORAJ OLT PORT","DUDU","26.867472","75.446392"
"DUDU EXCHANGE","DUDU","26.686690","75.233375"
"NARAINA OLT","DUDU","26.791808","75.205558"
"GOVINDGARH OLT","GOVINDGARH","27.246750","75.654194"
"ITAWA BHOPIJI OLT","GOVINDGARH","27.251528","75.717944"
"ANDHI EXCHANGE","JAMWA RAMGARH","27.051972","76.159167"
"DHAND OLT","JAMWA RAMGARH","27.075858","75.937889"
"DHAULA EXCHANGE","JAMWA RAMGARH","27.224028","76.072889"
"NAYLA EXCHANGE","JAMWA RAMGARH","26.923556","75.974972"
"PACHAR EXCHANGE","JHOTWARA","26.968861","75.537444"
"KOTPUTLI OLT","KOTPUTLI","27.708667","76.193217"
"NAREDA OLT","KOTPUTLI","27.728633","76.098717"
"MADHORAJPURA EXCHANGE","PHAGI","26.578980","75.645390"
"JOBNER OLT","SAMBHAR","26.972633","75.379775"
"RENWAL OLT","SAMBHAR","27.159660","75.363270"
"SAMBHER OLT","SAMBHAR","26.905581","75.183497"
"MAHINDRA SEZ OLT","SANGANER","26.937272","75.799472"
"SITAPURA OLT","SANGANER","26.777070","75.842946"
"AMARSAR OLT","SHAHPURA","27.375097","75.827800"
"MANHORPUR OLT","SHAHPURA","27.305494","75.951086"
"SHAHPURA NEW OLT","SHAHPURA","27.380803","75.959217"
"POATA OLT","VIRATNAGAR","27.583236","76.074714"
"BHINAI EXCH.","BHINAY","26.053260","74.768520"
"SARANA EXCH.","BHINAY","26.171210","74.874460"
"BADAKHEDA EXCH.","JAWAJA","25.786420","74.033840"
"BEAWAR EXCH.","JAWAJA","26.120040","74.365050"
"JAWAJA EXCH.","JAWAJA","25.943640","74.208500"
"KEKARI OLTE","KEKRI","25.985972","75.159639"
"SAWAR OLTE","KEKRI","25.761600","75.216960"
"MASOODA OLTE","MASOODA","26.091470","74.508900"
"RAMGARH OLTE","MASOODA","25.970470","74.453480"
"NASIRABAD OLTE","PISANGAN","26.298611","74.732222"
"PISANGAN EXCHANGE","PISANGAN","26.393410","74.381610"
"PUSHKAR EXCHANGE","PISANGAN","26.492950","74.558380"
"MADANGANJ OLTE","SILORA","26.583333","74.863611"
"ROOPANGARH OLTE","SILORA","26.790833","74.851944"
"AJMER OLTE","SRINAGAR","26.459722","74.603889"
"SRINAGAR OLTE","SRINAGAR","26.437200","74.777300"
