State,District,Sub District,% Rural Population,% Rural Households,OFC Density
PUDUCHERRY,Mahe,Mahe Taluk,0.0,0.0,0.4198
ODISHA,Sundargarh,Raurkela (ITS)P.S.,0.0,0.0,0.0798
ODISHA,Sundargarh,Raurkela (M),0.0,0.0,0.5261
ODISHA,Baleshwar,Baleshwar (M),0.0,0.0,3.1238
ODISHA,Kendrapara,Kendrapara,0.0,0.0,2.0738
ODISHA,Khordha,Bhubaneswar (M.Corp.),0.0,0.0,0.4469
GUJARAT,Ahmadabad,Ahmadabad City,0.0,0.0,0.9461
MAHARASHTRA,Nagpur,Nagpur (Urban),0.0,0.0,0.0304
MAHARASHTRA,Thane,Ulhasnagar,0.0,0.0,1.9654
DELHI,South,Kalkaji,0.0,0.0,0.2002
DELHI,South,Defence Colony,0.0,0.0,0.1386
DELHI,South West,Delhi Cantonment,0.0,0.0,0.0265
ODISHA,Ganjam,Brahmapur (M.Corp.),0.0,0.0,0.6146
GUJARAT,Surat,Surat City,0.0,0.0,1.0
ODISHA,Puri,Puri (M),0.0,0.0,3.8314
ANDHRA PRADESH,Visakhapatnam,Visakhapatnam (Urban),0.0,0.0,2.7162
DELHI,West,Patel Nagar,0.0,0.0,0.1242
ANDHRA PRADESH,Visakhapatnam,Pedagantyada,0.0,0.0,0.0247
ANDHRA PRADESH,Visakhapatnam,Gajuwaka,0.0,0.0,0.9906
ANDHRA PRADESH,Visakhapatnam,Visakhapatnam (Rural),0.0,0.0,2.9742
DELHI,North West,Model Town,0.0,0.0,0.1848
DELHI,North East,Shahdara,0.0,0.0,0.4044
DELHI,North,Kotwali,0.0,0.0,1.5232
DELHI,North East,Seema Puri,0.0,0.0,2.0284
DELHI,Central,Darya Ganj,0.0,0.0,0.3829
DELHI,Central,Pahar Ganj,0.0,0.0,0.8745
DELHI,Central,Karol Bagh,0.0,0.0,0.429
DELHI,North,Sadar Bazar,0.0,0.0,0.3599
DELHI,East,Vivek Vihar,0.0,0.0,0.1715
ASSAM,Kamrup Metropolitan,Guwahati,0.0,0.0,0.0906
DELHI,East,Gandhi Nagar,0.0,0.0,1.9911
ANDHRA PRADESH,Krishna,Vijayawada (Urban),0.0,0.0,0.858
PUDUCHERRY,Puducherry,Ozhukarai Taluk,0.0,0.0,0.3369
ODISHA,Mayurbhanj,Baripada (M),0.0,0.0,0.1486
DELHI,East,Preet Vihar,0.3311140251646659,0.3830763438318141,0.3886
ODISHA,Jharsuguda,Orient,0.3754367705003345,0.3729445668757417,0.467
MAHARASHTRA,Thane,Thane,0.4125389882747352,0.3673846085419145,0.2546
DELHI,West,Punjabi Bagh,0.8030490848117401,0.7221910164375613,0.2183
MAHARASHTRA,Pune,Pune City,0.9066873068013196,0.9644187448097074,0.9588
DELHI,South,Hauz Khas,0.9902598325500104,0.9654148100997242,0.1076
ANDHRA PRADESH,Chittoor,Tirupati (Urban),1.1209826339776834,1.051,0.163
DELHI,North East,Seelam Pur,1.5613089552422832,1.6063568984013934,0.099
DELHI,North West,Saraswati Vihar,2.0086493076288776,1.8381973183065905,0.0192
JHARKHAND,Bokaro,Bermo,2.224716377643234,2.234465014821858,0.2716
DELHI,North,Civil Lines,2.5770531036165294,2.3807470025015096,0.0858
CHANDIGARH,Chandigarh,Chandigarh,2.7467904685205364,2.960530407632695,0.5055
